GENE	104307-001-001R	104307-001-072	104307-001-040	104307-001-081	104307-001-033	104307-001-049	104307-001-089	104307-001-009	104307-001-065	104307-001-017	104307-001-025	104307-001-057
ENSG00000000003.14	657	888	1081	693	830	1094	549	548	1229	1161	619	953
ENSG00000000005.5	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000000419.12	361	460	507	339	393	381	444	508	420	521	571	370
ENSG00000000457.13	317	311	186	307	322	215	360	91	306	363	293	135
ENSG00000000460.16	87	83	36	181	55	64	108	78	76	102	115	35
ENSG00000000938.12	382	131	70	109	96	137	205	168	170	146	52	109
ENSG00000000971.15	17337	14284	22510	21217	18984	17826	18279	16296	23474	28277	13297	16306
ENSG00000001036.13	1386	911	1089	947	1022	670	1070	1025	873	1092	1020	612
ENSG00000001084.12	824	635	1874	1713	1746	1365	1193	1253	1565	1784	1106	1344
ENSG00000001167.14	166	422	434	269	343	209	184	295	292	258	553	87
ENSG00000001460.17	75	20	53	76	59	4	31	31	44	111	41	15
ENSG00000001461.16	303	86	128	341	238	40	132	347	232	191	242	34
ENSG00000001497.16	556	484	395	421	379	252	395	583	418	460	748	239
ENSG00000001561.6	108	243	332	75	346	106	127	155	197	248	268	47
ENSG00000001617.11	272	195	429	111	223	114	338	843	118	180	1226	168
ENSG00000001626.15	229	785	2667	685	3789	42	525	2757	1149	1707	2101	36
ENSG00000001629.9	736	546	535	448	556	349	239	706	435	649	877	179
ENSG00000001630.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001631.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002016.17	226	98	101	122	151	55	126	85	95	210	64	13
ENSG00000002079.14	11	10	4	0	0	7	0	9	0	0	0	0
ENSG00000002330.13	750	302	428	652	600	461	794	589	513	678	712	479
ENSG00000002549.12	1190	4701	2131	1952	1784	1941	2602	1760	2031	2365	2260	1465
ENSG00000002586.19	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000002586.19_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	101	156	387	33	259	31	31	656	95	131	642	39
ENSG00000002726.20	16	72	142	11	65	82	0	0	167	102	15	107
ENSG00000002745.12	0	0	7	1	11	1	0	0	0	29	0	0
ENSG00000002746.14	49	0	13	1	64	61	0	65	31	37	14	3
ENSG00000002822.15	977	417	456	328	256	294	244	654	472	368	414	169
ENSG00000002834.17	3439	1826	3806	2148	2442	3856	3405	3451	2862	3166	4044	3433
ENSG00000002919.14	150	236	136	200	141	210	259	340	252	172	157	142
ENSG00000002933.8	5886	4589	4308	7181	3285	5513	7686	3380	6733	8422	3736	5280
ENSG00000003056.7	688	1002	597	363	698	364	325	534	688	632	1222	335
ENSG00000003096.14	130	43	76	58	106	34	20	51	47	56	55	30
ENSG00000003137.8	40	169	82	30	51	11	22	277	35	19	592	45
ENSG00000003147.18	666	228	256	550	322	29	217	505	307	330	186	10
ENSG00000003249.13	257	64	118	92	169	56	102	277	186	574	248	76
ENSG00000003393.14	536	364	453	489	513	308	556	537	449	734	528	241
ENSG00000003400.14	185	238	310	154	221	112	129	420	245	214	330	55
ENSG00000003402.19	2391	1785	3305	1697	2306	1464	1731	5189	1896	2237	4622	1021
ENSG00000003436.15	3994	2853	3738	2578	2598	3616	2616	3396	2610	4268	3554	2764
ENSG00000003509.15	243	197	106	181	175	107	175	145	174	215	152	63
ENSG00000003756.16	2093	1384	866	1588	1321	804	1816	1460	1304	1979	1543	565
ENSG00000003987.13	15	0	58	0	27	7	10	51	4	31	0	0
ENSG00000003989.17	9510	5218	13036	5447	10339	4951	7329	7193	7360	12904	4644	3147
ENSG00000004059.10	738	451	488	551	660	380	570	522	667	595	425	319
ENSG00000004139.13	242	104	120	130	138	8	14	297	135	151	198	37
