Entrez_Gene_Id	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA31-01A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A
1	5	2	4	2	3	1	5	25	12	1	14	1	7	6	3	0	3	4	19	26	0	1	0	3	2	71	18	2	3	15	6	6	25	6	0
10	22	22	7	1	13	3	3	276	3	18	124	5	3	1	164	23	2	5	239	131	1	18	14	53	0	252	146	6	14	7	56	3	61	145	40
100	493	140	192	140	246	73	202	594	1349	173	846	227	150	315	258	363	179	383	263	286	305	127	768	168	191	470	88	319	421	124	281	293	495	342	383
1000	1473	722	1234	2718	2207	6733	2788	7131	249	846	3206	9598	7336	275	172	274	7793	429	2220	10274	443	2620	295	1603	16191	6156	773	2432	524	9214	5391	13604	13257	2774	6782
10000	2363	2442	1452	289	2416	274	816	2281	1056	133	2277	642	3318	878	2899	225	4766	1926	2177	847	1701	880	402	122	6095	1224	464	1750	756	5268	2652	2405	673	4725	2960
100008586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009613	2	0	10	0	0	0	2	0	0	0	1	0	0	0	0	0	5	2	6	0	0	1	0	2	0	1	0	2	1	1	1	10	3	0	2
100009667	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	1
100009668	2	1	0	0	4	0	12	4	10	1	0	1	2	4	1	5	1	3	0	2	0	0	1	2	0	0	0	1	0	1	2	1	0	1	5
100009669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009676	139	109	101	178	172	52	84	181	97	285	177	70	35	70	80	137	138	131	48	89	119	75	256	25	158	110	121	105	84	115	93	143	78	122	180
10001	752	422	811	596	426	293	489	381	983	380	338	537	364	397	641	757	522	479	811	631	421	306	736	257	455	627	735	801	527	492	375	423	837	578	475
10002	16	22	17	0	36	44	20	4	4	44	69	27	22	15	88	3	45	22	7	38	77	16	20	7	11	39	35	33	36	61	16	7	5	14	7
10003	278	43	51	26	57	16	28	38	85	15	19	23	20	30	50	77	56	49	45	55	12	34	19	20	313	27	40	49	24	58	36	59	61	86	51
100033392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033398	0	0	0	0	2	0	0	2	0	0	1	1	5	1	1	1	4	2	2	0	1	0	1	0	1	0	0	1	1	0	2	0	0	0	1
100033407	1	2	0	1	2	1	3	1	1	4	0	2	4	1	1	0	1	3	1	3	0	0	1	33	0	0	2	4	0	7	0	1	5	0	0
100033409	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
100033411	2	2	2	1	3	1	0	0	5	0	0	3	7	1	1	2	1	8	9	1	3	1	0	1	5	1	3	4	2	2	2	2	3	1	0
100033413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033417	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100033418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033422	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100033424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
