TCGA_3L_AA1B_01A	TCGA_4N_A93T_01A	TCGA_4T_AA8H_01A	TCGA_5M_AAT4_01A
10	466	257	782	188
100	263	319	49	579
1000	155	32	8	33
10000	559	94	66	259
100008586	0	0	0	0
100009613	2	0	0	2
100009667	0	0	1	2
100009668	5	2	1	2
100009669	0	0	0	0
100009676	117	90	81	149
10001	694	383	359	861
10002	4	2	7	8
10003	40	31	21	20
100033392	0	0	0	0
100033398	1	0	0	0
100033407	0	0	0	0
100033409	0	0	0	0
100033411	2	0	0	1
100033413	0	0	0	0
100033414	0	0	0	0
100033415	0	0	0	0
100033416	0	0	0	0
100033417	0	0	0	0
100033418	0	0	0	0
100033419	0	0	0	0
100033420	0	0	0	0
100033421	0	0	0	0
100033422	0	0	0	0
100033423	0	0	0	0
100033424	0	0	0	0
100033425	0	0	0	0
100033426	0	0	0	0
100033427	0	0	0	0
100033428	0	0	0	0
100033429	0	0	0	0
100033430	0	0	0	0
100033431	0	0	0	0
100033432	0	0	0	0
100033433	0	0	0	0
100033434	0	0	0	0
100033435	0	0	0	0
100033436	0	0	0	0
100033437	0	0	0	0
100033438	0	0	0	0
100033439	0	0	0	0
100033440	0	0	0	0
100033441	0	0	0	0
100033442	0	0	0	0
100033443	0	0	0	0
100033444	0	0	0	0
100033445	0	0	0	0
100033446	0	0	0	0
100033447	0	0	0	0
100033448	0	0	0	0
100033449	0	0	0	0
100033450	0	0	0	0
100033451	0	0	0	0
100033453	0	0	0	0
100033454	0	0	0	0
100033455	0	0	0	0
100033456	0	0	0	0
100033458	0	0	0	0
100033460	0	0	0	0
100033603	0	0	0	0
100033799	0	0	0	0
100033800	0	0	0	0
100033801	0	0	0	0
100033802	0	0	0	0
100033803	0	0	0	0
100033804	0	0	0	0
100033805	0	0	0	0
100033806	0	0	0	0
100033807	0	0	0	0
100033808	0	0	0	0
100033809	0	0	0	0
100033810	0	0	0	0
100033811	0	0	0	0
100033812	0	0	0	0
100033813	0	0	0	0
100033814	0	0	0	0
100033815	0	0	0	0
100033816	0	0	0	0
100033817	0	0	0	0
100033818	0	0	0	0
100033819	0	0	0	0
100033820	0	0	0	0
100033821	0	0	0	0
100033822	0	0	0	0
100034743	49	40	17	67
100036563	0	0	0	0
100036564	0	0	0	0
100036565	0	0	0	0
100036566	0	0	0	0
100036567	0	0	0	0
100036574	0	0	0	0
100036575	3	4	2	1
100037267	2	1	0	0
100037280	7	2	5	5
100037417	95	60	22	144
100038246	26	32	59	115
10004	176	39	12	53
100048903	0	2	0	2
100048904	3	0	0	1
100048907	1	1	1	1
100048908	0	0	0	0
100048909	0	1	0	0
100048912	14	11	32	12
100048922	0	0	0	0
100048923	3	3	0	2
100048924	9	5	0	2
100049076	0	0	0	0
100049587	46	17	0	0
100049716	558	589	185	153
100049717	0	0	0	0
10005	930	1259	377	966
10006	3371	3750	2523	3475
10007	4464	2761	1091	4595
100073347	0	0	0	0
10008	1318	1807	1184	2870
10009	3026	926	861	2760
100093624	0	0	0	0
100093625	0	0	0	0
100093626	0	0	0	0
100093630	3232	2013	1329	3482
100093631	292	170	95	145
