Entrez_Gene_Id	TCGA-N5-A4R8-01A	TCGA-N5-A4RA-01A	TCGA-N5-A4RD-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RO-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RT-01A	TCGA-N5-A4RU-01A	TCGA-N5-A4RV-01A	TCGA-N5-A59E-01A	TCGA-N5-A59F-01A	TCGA-N6-A4V9-01A	TCGA-N6-A4VC-01A	TCGA-N6-A4VD-01A	TCGA-N6-A4VE-01A	TCGA-N6-A4VF-01A	TCGA-N6-A4VG-01A	TCGA-N7-A4Y0-01A	TCGA-N7-A4Y5-01A	TCGA-N7-A4Y8-01A	TCGA-N7-A59B-01A	TCGA-N8-A4PI-01A	TCGA-N8-A4PL-01A	TCGA-N8-A4PM-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-N8-A4PQ-01A	TCGA-N8-A56S-01A	TCGA-N9-A4PZ-01A	TCGA-N9-A4Q1-01A	TCGA-N9-A4Q3-01A	TCGA-N9-A4Q4-01A	TCGA-N9-A4Q7-01A	TCGA-N9-A4Q8-01A	TCGA-NA-A4QV-01A	TCGA-NA-A4QW-01A	TCGA-NA-A4QX-01A	TCGA-NA-A4QY-01A	TCGA-NA-A4R0-01A	TCGA-NA-A4R1-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WA-01A	TCGA-ND-A4WC-01A	TCGA-ND-A4WF-01A	TCGA-NF-A4WU-01A	TCGA-NF-A4WX-01A	TCGA-NF-A4X2-01A	TCGA-NF-A5CP-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-QM-A5NM-01A	TCGA-QN-A5NN-01A
1	10	14	27	14	25	7	22	18	22	66	16	28	16	19	17	4	10	8	16	13	24	33	43	6	10	3	7	58	10	1	32	7	25	25	21	29	1	15	5	14	22	3	24	41	52	14	16	2	33	14	5	3	15	24	2	2	17
10	20	6	222	40	27	1	9	10	0	32	5	0	24	102	2	4	9	21	16	10	3	3	6	0	56	0	7	8	14	2	10	30	11	2	6	4	5	0	2	3	1	5	0	0	3	0	3	13	1	8	0	2	7	0	22	9	7
100	1703	952	1693	990	2406	663	905	3615	972	1851	462	562	1296	2430	1064	757	780	1033	973	894	291	478	2928	769	465	1618	1306	1081	702	911	1250	1375	890	1106	1178	1492	1868	193	701	678	1610	1771	764	1319	526	1761	1663	250	807	475	642	804	1233	1237	117	445	1050
1000	6680	417	3118	11501	3428	767	6723	4868	3822	6883	3255	4990	2801	1463	1000	7289	1985	2099	1278	6764	929	82	4194	95	2337	2454	2413	506	3563	9345	3509	3733	2963	373	586	950	2328	7927	2481	595	692	3993	1623	261	1775	1037	7865	9893	6296	10256	7486	693	564	167	725	816	1957
10000	765	93	2300	92	123	64	324	6180	1265	4132	239	1289	1555	132	461	892	222	911	733	3008	8917	92	15	46	546	2046	118	216	927	215	426	983	4934	710	167	142	1844	234	832	435	454	141	1337	345	1498	303	197	387	3282	494	624	359	409	331	148	38	277
100008586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009613	6	0	1	0	2	0	0	0	0	0	1	6	1	0	0	1	1	0	3	0	0	0	0	9	8	0	3	2	0	0	0	0	1	0	2	2	0	0	1	4	0	0	1	1	0	1	0	0	17	0	0	1	4	2	0	0	3
100009667	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	1	2	0	0	0	0	8	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
100009668	5	4	17	0	4	0	14	11	45	1	1	5	5	9	23	3	0	8	1	4	4	0	27	7	4	1	2	26	10	6	7	3	2	7	3	5	3	5	21	1	8	0	2	17	8	7	1	1	1	13	14	2	1	5	1	5	0
100009669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100009676	321	343	87	90	183	341	316	121	193	276	165	114	81	266	166	154	169	263	135	77	246	275	400	229	224	48	200	290	103	459	127	336	231	297	213	279	245	141	495	338	265	66	203	205	82	149	636	128	105	91	147	345	174	140	254	140	277
10001	2264	2201	1175	1252	1223	897	1330	1135	1233	1207	1202	1224	1255	1305	721	1095	1016	1311	978	636	1006	892	2392	1569	995	1014	1220	1259	823	1076	1137	827	1168	986	1230	1132	840	1340	1213	972	1353	1295	661	1053	940	844	1020	968	1109	819	942	1123	943	946	542	798	670
10002	34	38	13	5	11	11	64	14	45	6	21	9	33	49	31	13	110	24	86	33	14	116	6	15	39	0	83	58	11	29	86	61	11	15	9	45	2	14	14	18	93	10	2	13	16	6	15	13	14	9	21	6	34	68	31	22	9
10003	560	216	366	64	357	45	59	101	388	296	389	277	473	286	243	153	16	724	49	297	108	104	87	4	90	190	155	1090	91	714	220	1111	237	305	194	135	85	40	339	380	117	608	76	34	470	117	455	33	118	143	665	13	24	59	16	8	13
100033392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100033398	2	2	2	0	0	0	4	0	7	4	1	0	0	0	1	0	4	0	1	0	1	0	1	0	0	0	0	5	5	0	1	3	1	0	0	2	1	4	7	0	0	0	1	0	2	2	0	0	3	2	0	2	0	3	1	1	1
100033407	5	3	0	0	3	5	10	56	4	0	0	2	19	1	0	4	4	12	1	1	1	0	14	0	3	1	0	13	0	0	4	28	3	18	8	3	1	10	7	16	18	2	2	3	118	0	5	0	3	2	8	2	0	3	2	0	1
100033409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0
100033411	1	0	0	1	0	0	10	1	0	0	2	2	8	2	0	1	5	0	1	1	1	2	0	0	0	2	2	0	1	2	1	5	3	0	2	0	1	2	2	4	1	1	0	0	6	0	1	2	2	3	1	0	0	0	0	0	0
100033413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033417	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
100033418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
