Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa05012	Parkinson disease	Neurodegenerative disease	124/2024	6.33462176404377e-17	4.99138131088329e-17	3831/10383/5690/598/11047/55967/7388/9861/1537/4715/10105/292/5708/10131/7384/7295/2771/84790/7416/10213/5686/4129/64116/7054/5688/4702/5687/4706/9377/5718/4725/5693/7314/9817/5719/29796/7311/4708/51806/4217/4716/5704/6392/201266/54205/581/5717/4726/25828/440567/1347/10376/6390/5685/4722/6389/29985/5701/5709/5715/805/4713/468/3708/4701/3710/1345/5689/27089/4712/5714/11315/5707/374291/4705/6233/5710/4711/5682/5713/7419/5705/5695/3309/1349/1350/5702/7317/291/5700/7381/10381/64837/7386/91860/7494/4717/5566/5692/4724/4695/4729/4710/1329/4694/5694/7385/9927/2773/27173/7332/4720/1616/4718/55630/5601/5683/1337/801/1327/7318/4704/10975/4709	124
hsa05016	Huntington disease	Neurodegenerative disease	132/2024	5.30373192645463e-15	4.17908904457484e-15	7052/3831/23186/5468/10383/5690/2876/11047/55967/7388/9861/1537/4715/10105/5435/292/5708/7384/84790/7416/5437/10213/5686/5688/4702/5687/4706/9377/5718/6804/4725/3065/5693/5440/5719/29796/5434/3092/4708/4217/2877/5441/4716/5704/5439/6392/54205/581/5717/4726/440567/1347/10376/6390/1173/5685/4722/6389/2902/5701/5709/5715/4713/3708/4701/1345/5689/27089/4712/4899/5714/5707/374291/4705/5432/5710/4711/1211/60673/5682/5713/7419/5705/11258/5609/841/5695/1349/1350/5702/291/5700/10126/7381/55081/1175/10381/64837/7386/4717/5692/4724/4695/5433/4729/5331/4710/1329/4694/6648/5694/7385/146754/2882/9001/7019/5436/4720/6507/4294/10671/4718/1212/5601/5683/1337/1327/9519/4704/10975/5438/4709	132
hsa03050	Proteasome	Folding, sorting and degradation	35/2024	3.49304430601951e-13	2.75235313434455e-13	5690/11047/9861/5708/51371/10213/5686/5688/5687/5718/5693/5719/5704/5721/5717/5685/5701/5709/5715/5720/5689/5714/5707/10197/5710/5682/5713/5705/5695/5702/5700/5692/9491/5694/5683	35
hsa05014	Amyotrophic lateral sclerosis	Neurodegenerative disease	145/2024	3.49304430601951e-13	2.75235313434455e-13	3831/5606/5603/10383/5690/598/2876/10189/11047/23511/55967/7388/23225/79023/9861/1537/4715/6396/10452/2733/5708/7384/4927/84790/79139/7416/10280/10213/5686/847/5608/637/5688/4702/5687/29979/4744/4706/9377/5718/4725/7133/5693/5719/29796/4708/4217/2877/4716/5216/5704/6392/29107/54205/581/5717/4726/440567/1347/10376/6390/5685/4722/6389/2902/4686/5701/5709/5715/4713/468/4701/3710/1345/7415/5689/27089/4712/5714/5707/6300/374291/4705/56893/5710/4711/79902/60673/5682/5713/5705/11258/5695/3309/8021/1349/1350/5702/4218/5700/10126/7381/5868/10381/64837/25978/7386/7132/6432/7494/4717/5692/4724/4695/4729/11273/2521/4710/1329/4694/23165/596/311/9688/5694/6428/7385/146754/2882/9001/3181/4720/9631/310/8480/1616/10671/4718/5683/1337/1327/4928/4704/10975/4709	145
hsa04932	Non-alcoholic fatty liver disease	Endocrine and metabolic disease	74/2024	4.54153045057602e-11	3.57851045542802e-11	5603/5468/8503/2353/3643/55967/7388/1537/6256/4715/9021/3667/207/7384/10062/637/4702/4706/9377/4725/29796/4708/4217/4716/6392/54205/6720/581/4726/440567/1347/6390/3725/4722/6389/83737/4713/468/4701/1345/27089/4712/6945/6300/374291/4705/1571/4711/841/1349/1350/7381/2931/3553/7386/7132/7494/4717/4724/4695/4729/4710/1329/4694/7385/5571/4720/4718/5601/1337/1327/4704/10975/4709	74
hsa04110	Cell cycle	Cell growth and death	73/2024	1.85401262024603e-10	1.46087395389024e-10	5527/896/991/5347/9319/993/4998/994/9212/81620/25/5519/891/4176/9133/9700/983/9232/10926/4172/4085/1874/1111/1869/1663/890/7534/3065/1032/5111/10912/7533/7027/51433/9088/9978/29882/7272/246184/4609/5515/1019/5885/4173/5933/90381/1870/51434/699/51343/5528/27085/51529/1875/1871/898/26271/8318/4174/8555/10971/23594/701/9587/8454/5525/4171/990/7532/7043/995/10274/11200	73
hsa05020	Prion disease	Neurodegenerative disease	110/2024	1.88426667366459e-10	1.48471271213607e-10	3831/5603/10383/8503/5690/3312/11047/55967/5580/7388/9861/1537/4715/10105/292/5708/4851/7384/84790/5880/7416/10213/5686/5688/4702/5687/4706/9377/5718/5621/4725/5693/5719/29796/4708/4716/5704/6392/54205/581/5717/4726/440567/1347/10376/6390/5685/4722/6389/2902/5701/5709/5715/4713/468/3708/4701/3710/1345/5689/27089/4712/5714/5707/6300/374291/4705/5710/4711/4689/5682/5713/7419/5705/5695/3309/1349/1350/5702/291/5700/7381/3553/10381/64837/7386/1958/4717/5566/5692/4724/10963/3310/4695/4729/4710/1329/4694/5694/7385/1457/4720/4718/5601/5683/1337/1327/4704/10975/4709	110
hsa05022	Pathways of neurodegeneration - multiple diseases	Neurodegenerative disease	168/2024	1.90551357829891e-10	1.50145426461642e-10	3831/5606/5603/10383/5690/598/2876/11047/55967/7388/9861/1537/4715/10105/10452/292/5708/10131/5605/7384/84790/79139/5894/7416/10280/10213/5686/847/5608/637/5688/4702/5687/4744/4706/9377/3028/5718/6804/5621/4725/7476/7133/824/5693/7314/5719/29796/7311/3092/4708/51806/4217/1855/2877/4716/5704/6392/54205/581/5717/4726/440567/1347/7483/10376/6390/5685/4722/6389/2902/5701/5709/578/5715/805/4713/468/3708/4701/3710/1345/7415/5689/27089/4712/7855/5714/11315/5707/5481/1020/6300/374291/4705/6233/5710/4711/60673/5682/5713/7419/5705/11258/5609/841/5695/3309/1349/1350/5702/7317/291/1857/4218/5700/10126/7381/1499/5868/3553/55081/10381/64837/25978/7386/91860/7132/7494/4717/5692/4724/4695/4729/11273/2521/5331/4710/1329/4694/596/5694/1454/7385/9927/146754/51384/2882/9001/1457/7332/4720/1616/4294/10671/4718/8312/8313/5601/5683/1337/801/1327/7318/10297/4704/10975/4709	168
hsa01200	Carbon metabolism	Global and overview maps	58/2024	6.10288650613496e-10	4.80878492573457e-10	2203/1743/5723/84532/3419/4191/29968/3099/1431/1737/84706/7086/847/5162/226/2806/5230/7167/38/6392/2026/2821/2597/4200/283871/6390/2271/2746/6389/2023/6472/6470/5634/50/3421/5223/2805/48/25796/3417/113675/5091/8802/1892/3098/8801/2027/3420/84693/22934/2098/5160/1738/8803/132158/2653/5214/2731	58
hsa05010	Alzheimer disease	Neurodegenerative disease	138/2024	4.44608607817984e-09	3.50330481974013e-09	3831/10383/8503/5690/3643/11047/55967/7388/9861/1537/4715/10105/292/3667/5708/207/5605/7384/84790/5894/7416/10213/5686/64116/637/5688/4702/5687/4706/9377/3028/5718/4725/7476/824/5693/5719/29796/4708/51806/4217/1855/4716/5704/6392/201266/54205/2597/5717/4726/440567/1347/7483/10376/6390/5685/4722/6389/2902/29985/5701/5709/5715/805/4713/468/3708/4701/3710/1345/5689/27089/4712/7855/5714/5707/5481/1020/374291/4705/5710/4711/60673/5682/5713/7419/5705/5609/841/5695/1349/1350/5702/291/1857/5700/51107/7381/1499/3553/10381/64837/7386/91860/7132/7494/4717/5692/4724/8517/4695/4729/5331/4710/1329/4694/5694/1454/7385/51384/1457/27173/4720/4718/8312/55630/8313/5601/5683/1337/801/8883/1327/10297/1147/4704/10975/4709	138
