Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa03013	Nucleocytoplasmic transport	Translation	46/1315	9.92293909004723e-11	7.08781363574802e-11	3843/9972/3839/11260/10527/10526/23279/51194/25909/9883/51808/64328/53371/4686/3842/3837/57187/5903/10762/81929/22794/57510/5411/4928/100101267/1434/79711/4927/57122/129401/7175/9688/3840/3841/8563/55308/26019/23165/65110/9631/1917/55161/7514/348995/8021/51068	46
hsa04520	Adherens junction	Cellular community - eukaryotes	37/1315	1.11763482053824e-07	7.98310586098744e-08	64750/1956/83439/2260/51176/7082/57493/51701/9475/117178/9855/2534/6885/2241/5797/7046/5908/87/5770/6093/7525/5792/56288/55698/1500/2033/8936/8826/1459/4008/4088/5787/11235/7414/5880/4089/5795	37
hsa05166	Human T-cell leukemia virus 1 infection	Infectious disease: viral	63/1315	1.96470801252388e-06	1.40336286608848e-06	2113/3119/10000/4791/3383/1739/5971/6777/8061/64682/3106/996/1871/3569/3845/7046/4790/8881/3105/598/9586/4609/1385/5925/9020/6722/701/7015/23373/64784/4893/9519/4055/5599/545/1386/4772/2033/2005/5567/1017/821/595/890/1147/8295/4085/4775/7094/1388/4088/3117/293/246184/5296/7514/7132/3601/468/9184/8829/3265/4089	63
hsa03083	Polycomb repressive complex	Chromosome	32/1315	1.96470801252388e-06	1.40336286608848e-06	10389/55252/63035/54881/23269/121536/6322/84458/80012/8473/7027/7874/22823/3607/7323/23512/11335/2033/7528/171023/11091/10138/84333/55777/85015/3066/8726/7321/10238/221937/648/22955	32
hsa04350	TGF-beta signaling pathway	Signal transduction	37/1315	5.05418989138025e-06	3.61013563670018e-06	64750/9241/25805/3624/654/655/4090/9611/7046/6093/3625/659/4609/1874/9765/4086/7027/60436/4756/7057/10468/6198/91/2033/657/4092/375387/285704/4088/79875/25942/353500/3066/5516/3547/1875/4089	37
hsa04810	Regulation of actin cytoskeleton	Cell motility	61/1315	2.38864977668888e-05	1.70617841192063e-05	4628/2335/2247/3673/1956/10000/2260/3684/3685/10152/3672/1793/5062/4659/9475/55740/22800/3845/81624/87/200576/10672/6093/324/2245/54434/10097/3675/2264/7430/7410/10787/26999/85464/8874/4893/8394/5058/3688/7409/8936/9564/8826/3655/2768/10788/5829/5501/4478/5962/10096/5296/3678/7414/6654/5880/1399/5747/3265/4638/1131	61
hsa04218	Cellular senescence	Cell growth and death	45/1315	4.71901565108908e-05	3.37072546506363e-05	2113/10000/5054/1021/4683/3709/3106/678/22800/1871/3569/3845/10114/7046/4790/677/5481/1647/54822/3105/204851/4609/1874/5925/132660/4893/545/4772/1017/10111/595/890/4775/5501/4088/293/23411/5296/91860/85417/1875/2305/3265/8945/3576	45
hsa04390	Hippo signaling pathway	Signal transduction	45/1315	4.71901565108908e-05	3.37072546506363e-05	330/83439/5054/51176/1739/654/655/92597/2535/5584/122786/7480/7046/7003/9113/324/659/4609/1742/7475/26524/7476/4086/56288/55233/7976/2736/2932/7159/657/4092/595/5501/4088/329/353500/84552/85407/60485/5516/10413/4771/7004/4089/8945	45
hsa05205	Proteoglycans in cancer	Cancer: overview	54/1315	5.83446491059842e-05	4.16747493614173e-05	2335/2247/3673/1956/10000/2260/867/960/3685/3709/2535/5781/4659/9475/7480/22800/117581/3845/355/1839/6093/4609/7475/6774/7430/7410/7476/10818/4893/5582/7057/6198/1514/5058/7976/3688/7409/6608/5567/8826/595/5829/5501/4478/5962/5296/3678/3091/836/6654/2549/288/5747/3265	54
hsa04110	Cell cycle	Cell growth and death	44/1315	0.00011543097456051	8.24506961146499e-05	23047/1021/546/64682/9126/996/1871/8243/8881/1647/4609/1874/10735/5925/990/5591/7027/701/4999/5885/545/2033/2932/1017/595/890/5529/4085/23244/4088/90381/246184/8317/168448/26271/3066/85417/5516/1875/9184/699/4089/7465/27085	44
hsa05163	Human cytomegalovirus infection	Infectious disease: viral	57/1315	0.000128791243597167	9.19937454265478e-05	1956/10000/1021/3685/3709/2775/3106/9475/1871/3569/3845/4790/355/3105/7186/3570/10672/6093/29110/54205/9586/4609/2786/2185/1385/2788/5925/6774/4893/5582/6198/1386/4772/2932/9564/5567/841/5330/2768/595/1147/5829/2791/4775/1388/59345/5296/91860/7132/836/6654/5880/1399/468/5747/3265/3576	57
hsa05220	Chronic myeloid leukemia	Cancer: specific types	26/1315	0.000243047980242662	0.00017360570017333	10000/1021/867/6777/5781/1871/3845/7046/4790/1647/598/4609/5925/4893/51426/595/1147/4088/1488/5296/6464/3066/6654/1399/3265/4089	26
hsa04120	Ubiquitin mediated proteolysis	Folding, sorting and degradation	39/1315	0.000448197956433827	0.000320141397452734	330/64750/23327/8451/867/64682/996/7337/8881/51366/9320/57448/8452/8065/8453/8651/10054/7189/4734/7326/55958/7323/3093/9246/22954/4591/9063/8924/83737/8450/329/246184/7334/7321/8554/55236/9021/8945/8925	39
hsa04510	Focal adhesion	Cellular community - eukaryotes	50/1315	0.000769512699603384	0.000549651928288131	2335/3371/3673/1292/330/1956/10000/1282/3685/3672/1793/5062/4659/9475/2534/5908/87/1291/10319/6093/3675/7410/6696/7058/5582/7057/8394/5058/5599/3688/7409/2932/9564/1293/3655/595/5829/5501/7094/329/5296/3678/6464/7414/6654/5880/1399/5747/3265/4638	50
hsa05131	Shigellosis	Infectious disease: bacterial	59/1315	0.000832128762583207	0.000594377687559434	1956/10000/960/3709/10892/257397/9267/10318/1793/9475/6885/4790/5481/87/7186/80201/9265/6093/29110/54205/598/5588/10097/664/3099/58528/7189/92610/4793/6198/5599/5581/7323/3688/11335/2932/57521/8936/9564/10241/5330/1147/5829/7094/10096/5296/3678/7414/7334/7132/7336/7321/1399/54874/8767/5747/30849/8945/3576	59
hsa05222	Small cell lung cancer	Cancer: specific types	28/1315	0.000909490902970839	0.000649636359264885	2335/3673/330/10000/1282/1021/3685/1871/4790/1647/7186/10319/54205/598/4609/5925/3675/7189/3688/1017/51426/3655/595/1147/329/5296/836/5747	28
hsa04310	Wnt signaling pathway	Signal transduction	44/1315	0.000909490902970839	0.000649636359264885	7091/83439/25805/4040/51176/6422/51701/2535/8061/2239/9475/7480/6885/324/4609/7475/54894/7476/27101/5582/5599/4919/7976/4772/2033/2932/144165/5567/1459/5330/57216/595/4775/4088/1488/147111/1452/23411/85407/4007/5880/4089/23002/8945	44
hsa04010	MAPK signaling pathway	Signal transduction	67/1315	0.000909490902970839	0.000649636359264885	2247/59285/1956/10000/59283/2260/4791/57551/1847/5971/51701/6789/1852/5062/22800/6885/3845/7046/4790/355/5908/781/1647/4763/7186/4609/80824/9020/6722/4803/2264/3312/7189/4137/4208/7039/4893/5582/5058/5599/1386/6197/4772/2005/5567/3556/785/9448/51347/2768/1147/4775/1844/4216/8550/1943/1845/10125/7132/836/6654/5880/1399/468/10746/9693/3265	67
