logCPM	PValue	FDR	log2FoldChange
KRT5	5.87145526547702	0	0	-5.7079
KRT6A	5.58674143960965	0	0	-5.3277
KRT13	7.69294507725292	0	0	-4.7515
CEACAM6	7.96166634720082	0	0	-4.0806
GDA	6.70835820868465	1.11259798177536e-228	4.06231775105819e-225	-3.276
COL17A1	4.5265542162106	5.10762436420907e-181	1.55407983988335e-177	-4.3002
LY6D	5.48091677582053	9.94598073443474e-158	2.26967280359801e-154	-3.173
OXCT1	5.29548442366044	2.31919159997525e-155	4.70435131657201e-152	-2.8366
KLK7	5.70027884757645	1.12058457478315e-154	2.04573919972412e-151	-2.7053
CD24	6.51502681901529	4.86731013985057e-145	7.404801159426e-142	-2.7063
TNFAIP2	6.71436179531229	1.28546007489804e-140	1.80518147133373e-137	-2.1392
PPP2R5C	7.89338831863842	1.12983294393943e-137	1.47330215889701e-134	-2.0068
S100A2	5.57351578909069	1.02544081903439e-133	1.24802983948613e-130	-2.886
GLB1L2	3.93127866678292	5.9056403457531e-118	6.34196295012169e-115	-3.8974
IGFBP2	5.20659437288848	1.1950579762746e-112	1.21205435638161e-109	-2.444
IGFBP3	7.88575899721117	1.65245699141399e-112	1.58775025448704e-109	-1.8563
NPC2	7.92712611834749	4.32111686274326e-107	3.42983954114091e-104	-1.7601
LCN2	6.87960780767364	5.50985365020916e-102	4.19116200992577e-99	-1.7928
ELF3	5.46507639274638	2.00750014413322e-98	1.40957394735754e-95	-2.0885
MFAP5	4.0034262356853	7.01939342717113e-97	4.74614986690505e-94	-3.4217
MARK3	6.68006693397076	4.36956434745072e-96	2.84895595453787e-93	-1.7081
CDC42BPB	7.22151438196481	5.99986762630404e-91	3.53334139954215e-88	-1.6499
EFNB1	4.71267647366127	4.26440878000934e-90	2.43284520899533e-87	-2.5553
NPTX1	4.02587065562802	6.67874375444204e-83	3.5860925288557e-80	-3.0263
A2ML1	4.21599700834687	2.41862321671775e-82	1.26155386983998e-79	-2.5916
NEK9	6.64579087704494	7.53150687529505e-81	3.81931081987184e-78	-1.6009
KLC1	6.40804262077418	1.85512879208232e-76	8.46680780706371e-74	-1.5992
GLUL	6.81234449277081	2.97755402153462e-76	1.3258103955399e-73	-1.4828
HIST1H2BK	6.39620040657923	2.23230880380631e-74	9.26205216415638e-72	-1.6307
ZFYVE21	5.31280502324802	1.21404575419397e-73	4.8181781062098e-71	-1.7687
SYK	4.55906627472973	2.22039762104082e-72	8.62459127015347e-70	-2.1819
AGR2	3.46692566410791	1.16079804641824e-71	4.41490190321071e-69	-3.3019
L1CAM	5.74101021448993	1.69181197362352e-71	6.30320803887162e-69	-1.6235
C3	5.05510551212566	6.14219441274437e-71	2.24263802398122e-68	-1.7933
PSCA	4.63505252410682	1.9808866905717e-69	7.09079753393664e-67	-2.0561
APOPT1	5.91570467507537	2.50527146088453e-69	8.79542995959768e-67	-1.6368
DYNC1H1	9.6350264836166	1.57330484643811e-68	5.41929307105174e-66	-1.5679
ANKRD9	4.57827758419872	3.39195700413884e-68	1.14673272347331e-65	-2.0492
S100P	5.96242399032775	1.31615050388239e-67	4.36866247252307e-65	-2.0386
HTRA1	4.09963170336991	3.82242892958746e-67	1.24611183104551e-64	-2.3699
POMT2	5.74727828759307	6.46125776771887e-67	2.03373658288751e-64	-1.5856
TMED10	8.97228447510514	3.15282495633956e-64	9.59299540048917e-62	-1.3341
DLST	6.9583470419849	3.16734362045488e-63	9.32629437661682e-61	-1.3304
TECPR2	4.4542151525065	6.1631158892911e-63	1.78593402658569e-60	-1.9718
RCOR1	6.37646110006458	2.7255962323385e-62	7.77476325274557e-60	-1.4221
BAG5	6.88179440947425	4.06981334640666e-62	1.12573503715151e-59	-1.3461
ASS1	5.45355871440599	6.60883003277469e-61	1.72358287254764e-58	-1.6093
AMOT	5.64907079590001	8.83306413514635e-59	2.27121716691876e-56	-1.5219
SPTLC2	6.24489186572876	4.98200775104021e-58	1.26321574309708e-55	-1.3713
VIPAS39	5.07301137768266	9.78907006193243e-57	2.44807209658409e-54	-1.6515
IRF2BPL	5.46682968566338	2.702670113791e-56	6.66756021586061e-54	-1.5115
TSPAN1	5.11024768734708	3.16951176842852e-56	7.71501424592415e-54	-1.7337
SCEL	3.93615750234273	1.88533533992205e-55	4.41265153405346e-53	-2.1365
FCF1	7.87354860653927	3.62636916394424e-55	8.27537443212077e-53	-1.2472
S100A4	6.21685999476336	1.03164374571423e-54	2.32514669404433e-52	-2.0503
CEACAM5	2.11710167700119	1.63104347762959e-54	3.63125972287876e-52	-6.2937
WDR20	5.58838355036378	3.66427880045314e-54	8.05964744350272e-52	-1.5487
GSTZ1	5.56606912397941	2.02631475680424e-52	4.35204731767273e-50	-1.9258
SEMA3F	3.98441615120134	2.22276474141918e-52	4.71846431620332e-50	-2.0675
FXYD3	5.34154164396643	7.99904954989072e-52	1.65943918844097e-49	-1.4597
EIF2B2	6.15611665830652	1.39898703535516e-51	2.86965250757796e-49	-1.2565
PELI2	2.21762303964956	3.08496051675688e-51	6.18890540592457e-49	-5.0331
HSP90AA1	12.6098623805559	1.56930709398132e-50	3.08056669975515e-48	-1.3625
AK4	4.61021272583249	4.87328797127979e-50	9.36492054775619e-48	-1.7051
NMB	5.19003953301818	1.20216955985621e-49	2.26255747265309e-47	-1.4446
TRMT61A	4.7150594891543	2.67436049520278e-49	4.98195155106347e-47	-1.6689
TRIM29	6.9579942081571	2.55853925935618e-48	4.67086927188064e-46	-1.2326
PYGL	5.92899960952882	3.95922710418847e-47	6.94996634750622e-45	-1.3406
SERINC2	4.35198986854833	2.9546268180017e-46	4.99441362865175e-44	-1.6729
COL7A1	6.19476073217038	6.17759801007112e-46	1.02525662974417e-43	-1.2179
