logCPM	PValue	FDR	log2FoldChange
KRT13	7.6405336216092	0	0	-7.0537
CEACAM6	7.88634946545637	0	0	-6.3266
KRT5	5.8520985809227	0	0	-6.2409
KRT6A	5.55340038945672	6.66683280917437e-315	3.04274249410718e-311	-6.8182
COL17A1	4.50086136999991	2.10344946380976e-165	5.48579620161585e-162	-4.687
TRIM29	6.63661117183046	4.99740202351457e-158	1.14040714176602e-154	-2.7769
LY6D	5.42964850723138	1.52987823722113e-151	3.10327301096765e-148	-3.6417
S100A4	5.96873744817086	1.65546453588903e-140	3.02221605671902e-137	-4.3463
A2ML1	4.04299318150566	7.47578074305635e-140	1.24070775677488e-136	-4.94
MFAP5	3.91461487308118	1.08692903690994e-129	1.65358137481899e-126	-5.0074
C3	4.88390150777459	1.03703487412268e-110	1.45631605092183e-107	-2.7625
ALDH3A1	8.6187940587221	5.6281661602863e-110	7.33912867301333e-107	-2.1159
GLB1L2	3.92934904299713	2.3308290282421e-105	2.83677431597252e-102	-3.7768
TSPAN1	4.8966777257	3.72363268416071e-100	4.24866489262737e-97	-3.0165
S100A2	5.56646072331848	3.1859158810746e-99	3.42129884264106e-96	-2.8443
AGR2	3.3862938885267	5.36109427151714e-92	5.43734094560094e-89	-4.5595
KLK7	5.7585462905036	9.60782808155819e-89	9.23160576089085e-86	-2.2419
PSCA	4.53091718597788	3.44637668888463e-85	2.99605013487038e-82	-2.6652
NEFH	4.06977943468387	2.49562624465876e-83	1.98087620532567e-80	-3.0072
ASS1	5.3333597991015	3.75979411151326e-78	2.85995005415775e-75	-2.132
LCN2	6.85907635868432	1.11944720384325e-74	7.86024159744709e-72	-1.8367
NMB	4.98613372889517	2.566138832432e-73	1.73509001943995e-70	-2.3975
ADGRF5	4.93764627021416	4.04223081155782e-69	2.6355344891357e-66	-2.0599
EFNB1	4.75044396196148	7.9673102000983e-68	5.01555913837912e-65	-2.2452
SEMA3B	3.86141322497241	9.29990069093109e-68	5.65929956712126e-65	-2.7227
CD24	6.65905937546879	1.79100193070677e-62	9.61662683734786e-60	-1.805
ELF3	5.51692630770705	1.9197336711244e-61	1.00133308285848e-58	-1.7729
IGFBP2	5.29076404718858	5.97249370964079e-61	3.02871792120006e-58	-1.8991
SNCG	3.90041392347147	1.44128461691108e-60	7.11137620711587e-58	-2.416
GSTZ1	5.57162671845016	2.95131512820347e-59	1.41787392053902e-56	-1.8399
FAM133A	2.24604308024653	4.44573050449679e-58	2.08105784846393e-55	-6.3877
MUC16	5.80941982791351	5.12458925788387e-58	2.3388625372982e-55	-2.4389
ZBED2	5.20448530413796	5.35915762922117e-57	2.38626296778199e-54	-1.8043
SLC37A2	3.55086900271763	1.03040154492079e-56	4.47881204858903e-54	-2.7471
CEACAM5	2.10114215120311	1.16816853544331e-55	4.73912995178958e-53	-10.0558
TMPRSS4	3.196389495749	8.26359836025835e-54	3.27957068836688e-51	-2.9559
GNGT2	3.11686047688801	1.2437589562603e-53	4.83107734159319e-51	-3.0286
FXYD3	5.28085293252923	2.99769692197654e-53	1.14012406265841e-50	-1.6621
NPC2	7.99239061283853	2.37130028757791e-49	8.65809161000445e-47	-1.4498
SEMA3F	3.96778057112572	4.26835355378361e-48	1.47024646184667e-45	-2.1074
CRIP1	5.62514660956806	3.16479191056826e-46	1.03172216284525e-43	-2.2019
SYK	4.62905245424338	4.78527872182761e-46	1.53263242711728e-43	-1.7621
GNE	3.58480562559943	2.21151608305881e-44	6.84295552751216e-42	-2.2118
PLA2G16	6.58795590556809	4.49641603844818e-43	1.36810951996517e-40	-1.2796
ADIRF	3.7519072954662	7.32950065635054e-42	2.15818329003767e-39	-2.0384
