logCPM	PValue	FDR	log2FoldChange
SLC1A3	4.11556119051499	3.24844524259646e-192	1.18607232697682e-188	6.8199
DCLK1	5.89077934436678	3.10175813979057e-174	9.43761610000277e-171	3.2479
AKAP12	6.51231171088981	2.78699368861379e-87	2.54396783896667e-84	2.0102
GFRA1	3.06763996610583	2.22383195583671e-84	1.84537619026159e-81	5.4217
MYH10	4.17624869435953	3.04148401558791e-75	2.22101328754292e-72	2.5292
ARL15	2.69060879609041	4.24146222588283e-66	2.49781078695861e-63	4.229
FN1	7.14970912215459	7.65539145921838e-64	4.36740082748409e-61	1.6046
PHLDB2	7.30997845716734	4.59206010742615e-63	2.54038331276278e-60	1.5572
SLC26A2	7.12808980412549	2.7423490856056e-56	1.1642866257399e-53	1.5373
KCTD12	2.40439709031163	3.63870014240184e-56	1.50972976817473e-53	4.3557
TNC	3.56406711565521	4.40324589360094e-52	1.64052361293018e-49	2.3525
FGF2	3.67941592909758	6.96935669233174e-49	2.49475638774918e-46	2.2578
RAB3B	4.44917037340709	2.10752581923877e-48	7.3990367992352e-46	1.8203
ITGA2	7.55776946612003	5.61051187016121e-47	1.89676860558635e-44	1.3367
FAM171A1	4.04524478526662	1.36183040754524e-46	4.52028653093562e-44	2.0264
ZNF462	3.63075473758777	5.33494970705608e-46	1.67922141124165e-43	2.3361
MYH15	4.59979627547634	1.00389914329986e-42	3.00445619017743e-40	1.8448
COL27A1	3.01741945791622	2.82824509738882e-41	8.06756914030162e-39	3.1771
C1S	5.4070821769995	3.06809471323724e-37	8.00159101212273e-35	1.3811
CYR61	7.72142979905969	4.61379832908697e-36	1.12306003061082e-33	1.5159
FHL1	2.32720230870517	1.15486927862558e-35	2.73809007150502e-33	2.9966
OLR1	5.05130570591658	1.85922115813653e-35	4.29644828644816e-33	1.4491
COL6A2	5.13201185278396	1.05782951496003e-34	2.41396695313879e-32	1.4188
BCAT1	7.20321706668792	1.6011666837436e-34	3.52179505764135e-32	1.0956
CACNG6	4.09791346734936	1.4082813510971e-33	2.98948655181729e-31	1.7726
KIAA1549L	4.40948323069958	2.50380147509557e-33	5.2539539918787e-31	1.4621
TRPC4	3.07621188314467	6.0296607201162e-32	1.23682568658923e-29	2.0483
TLE4	1.2878328464111	1.20600312906027e-31	2.44631034712492e-29	5.0494
ETS1	6.21645975011759	3.27016163259954e-31	6.56044733678432e-29	1.109
THBD	3.116324956837	1.4042891940514e-30	2.61599015577575e-28	2.1892
