logCPM	PValue	FDR	log2FoldChange
ALDH1A1	11.7691322154711	0	0	19.482
SPP1	12.1517036904218	0	0	13.681
MACROD2	7.31679277433991	0	0	10.3898
GJB1	6.89524935940663	0	0	9.9662
FGB	8.56478990778761	0	0	7.4035
TFPI2	10.1038366197922	0	0	7.1174
ABCB1	6.45788312943651	0	0	6.9439
PDZK1	6.71624031270987	2.25453468300651e-317	5.14484814662085e-314	7.9502
EPDR1	5.90482312361697	1.82399894040767e-301	3.02717496873477e-298	7.7819
PCSK5	5.63982500919129	6.74948730636518e-299	1.02682200220836e-295	10.1835
ITGB8	6.61655164526996	1.4899127541871e-289	2.09229594157229e-286	5.613
ADGRL2	5.82683063391728	5.92038425473021e-286	7.72018106816819e-283	8.8949
SEMA6A	5.52595507413891	1.94207371119913e-268	2.36363317811009e-265	7.0412
NNMT	7.66212424870509	2.52669825993202e-267	2.88296271458243e-264	5.0517
VAV3	6.04854430148911	3.32651065103896e-265	3.5722810850216e-262	7.4881
ACE2	5.40941666574527	6.88808023343096e-253	6.28743963707578e-250	8.2616
NUPR1	5.47555393785588	1.23990027122684e-249	1.07788663578653e-246	6.2519
FGFR1	5.58878985816146	5.08811276972462e-248	4.22220848745876e-245	6.0619
ADAMTS1	5.42395270585959	5.00814028139834e-244	3.97515691205253e-241	6.0618
AKR1B10	5.79822680861523	8.74657082256604e-241	6.14143834372175e-238	5.429
P3H2	6.01976919209451	4.32374683223291e-239	2.9234934136757e-236	5.0324
GABARAPL1	6.91000853210919	2.45820844637418e-238	1.60275190703597e-235	4.9356
IGFBP7	5.41953056618263	1.0648852002082e-236	6.70363593620722e-234	7.9178
FGG	5.40760545641777	3.30672363369238e-234	1.94734021473187e-231	8.7262
C3	5.19145783700593	2.04224222400798e-233	1.12979315277241e-230	7.5399
FAM149A	5.43564586094618	1.25159853619864e-224	6.34699524356731e-222	5.327
ZNF704	5.97415928588301	1.39245686207799e-217	6.8704574254313e-215	4.7908
ANXA4	9.09771904343349	1.17490077982362e-210	5.64447069380525e-208	3.7155
GGT1	5.90305658245731	2.48573362263516e-209	1.16357828243148e-206	4.535
SULT1B1	4.82634928189894	5.49256329844879e-209	2.50680588941203e-206	7.1722
HAVCR1	8.20387687617315	2.53379384374718e-207	1.12821805881582e-204	3.692
TNFSF10	5.62643882163929	1.90995665815078e-203	8.30194494076207e-201	5.4455
PAPSS2	7.55442380635403	4.30215861071915e-202	1.7850047181202e-199	3.9221
SNX10	6.02647834640362	8.02757399122939e-200	3.25669757297519e-197	4.2485
C14orf105	5.39402708177264	1.31788569088774e-199	5.23028721148837e-197	5.1059
SIRPA	4.8614379886707	5.51497369569389e-192	2.14215659124655e-189	6.144
LOC100422737	4.64213949557615	1.84614992290079e-191	7.02152354009932e-189	12.3479
FGFR3	5.47911511716961	5.04347826060782e-188	1.8790559005236e-185	5.1705
CREB5	6.06974545389506	3.87572309283761e-186	1.41510401565687e-183	3.8687
PDZK1IP1	7.79516753626555	4.90336650739931e-183	1.75521292076631e-180	3.3772
ACTR3C	5.72134865961392	1.63000802166097e-181	5.72258200835435e-179	4.2086
DAPK1	8.85602812849147	3.81461653329962e-180	1.31395546097958e-177	3.3406
NR5A2	6.70674549265413	3.62594191710174e-179	1.22583695627054e-176	3.6606
NR1H4	4.3252501095531	2.97043618719972e-172	9.85968782427602e-170	9.7106
DOCK8	4.27921502092044	3.24574939673913e-171	1.05811430333696e-168	11.9829
ID4	5.67314001946218	1.2473668589877e-168	3.99507532941746e-166	3.7929
PTPRD	4.23512887701801	2.50981105885462e-166	7.63651844840831e-164	11.9386
ONECUT2	6.09647767925274	5.67351198836223e-162	1.61836929468033e-159	4.1316
PKHD1	5.01013481878771	9.93948349224448e-159	2.74932137324872e-156	4.2352
CD24	9.58431068521478	1.7545973608469e-158	4.78088498800312e-156	3.2183
DAB2	4.34295288893705	1.23248939198578e-157	3.30887152060183e-155	6.5461
GPC4	4.23975325466899	2.22462081911157e-154	5.88589531502911e-152	8.7751
NYAP2	4.54159439189324	1.2078310984909e-153	3.10565697662674e-151	5.2974
SPTLC3	4.47234709489942	6.13499343851064e-153	1.55556166963125e-150	5.9709
SAMD11	4.17372683787372	1.04977405139789e-152	2.62529795648218e-150	7.7884
GNE	4.20760889552696	7.97122008752498e-151	1.96652153943049e-148	7.0486
P2RY6	4.52975551189553	1.81456342099954e-150	4.41688930850236e-148	5.4409
RGS2	6.7966804612133	2.9945221668267e-150	7.09973982825822e-148	3.5575
CYS1	3.99789224059762	3.7628981880892e-148	8.80711145150725e-146	11.6995
SULT1E1	4.05555881512985	1.27405819924565e-144	2.87150697350971e-142	7.6683
LOC101927412	4.16537400275388	1.27286696837023e-143	2.83383650909352e-141	6.6495
EFHB	4.57453611394072	1.00303989878715e-141	2.20620438460943e-139	6.4368
AKR1C3	4.71050154508884	6.52445132422734e-141	1.41798075446541e-138	4.4953
LOC105373347	4.05950002433144	1.79479610832967e-138	3.85479973572547e-136	9.4419
VNN2	3.93394864152975	7.58308320670234e-138	1.60972984908788e-135	9.3153
PPP2R2C	4.1617395992476	1.26155899859346e-133	2.58775517733958e-131	6.3619
LCN2	8.95161399291062	5.43677303891576e-133	1.1028192066494e-130	3.0883
CLDN2	4.17347866151226	4.75765839263079e-132	9.54459468306239e-130	7.4816
SLC25A30	5.97344920923099	1.74719774715024e-129	3.42976796472846e-127	2.993
SLC4A4	4.77525109540762	3.23259020469995e-129	6.27810284861727e-127	3.8656
CFAP221	4.05910039860025	1.0840735232159e-127	2.06154648331556e-125	8.0608
DNM1	6.0799911151573	3.64977992764802e-127	6.86911158341673e-125	3.0478
FREM2	5.19294189750702	7.66101447078888e-124	1.4271375528441e-121	3.2437
PLEKHA2	5.33788539583193	9.98140565176294e-123	1.82220541578584e-120	3.2002
VGLL3	5.99687090997387	3.77090491745224e-120	6.61938847817385e-118	3.3464
MPC2	7.4288487086049	2.57908426933663e-119	4.48416784961995e-117	2.5972
ID3	6.10464080318799	4.6735464369018e-118	8.04908148604521e-116	2.9283
