logCPM	PValue	FDR	log2FoldChange
PEG10	8.02983657146505	0	0	-4.6607
CYR61	8.89704912320185	2.80164060127745e-159	7.86873089491095e-157	-2.8453
CAV1	9.01203265183247	1.25938825934177e-142	2.98589507305757e-140	-2.7856
GJA1	4.19118715692953	6.09884153460803e-128	1.22352144017367e-125	-5.0744
UHRF1	6.00232252753698	2.24041024577716e-105	3.14622534206983e-103	-2.4478
NRG1	4.74516835933967	4.10852125241538e-104	5.55593807289595e-102	-2.9677
TGFBI	8.74299699310662	3.73332469034328e-102	4.97485952897131e-100	-2.1894
AMIGO2	7.00186847373296	8.91145145377517e-102	1.15381175702212e-99	-2.2257
NRK	3.12590030187563	2.40194597662361e-100	2.98298814620685e-98	-7.6605
CYB5A	4.99219365126794	3.93868383951331e-100	4.85841974149696e-98	-2.7858
VCAN	5.53476145719077	9.18209071025793e-100	1.11752165337646e-97	-2.3535
MYBL1	6.77206566051056	1.95297153600265e-95	2.14779809405207e-93	-2.0146
DPP9	4.89928252796676	6.67019050734553e-94	7.29167652108383e-92	-2.5147
RRS1	7.15544118999435	6.49263256447627e-91	6.85141619058259e-89	-2.2275
FGFBP1	4.5263475095657	1.29760104408047e-90	1.35365740918475e-88	-2.8789
MPP1	4.30447869461956	5.39063354575016e-90	5.49784391124106e-88	-3.0558
CLSPN	5.60557173921045	3.62327522256913e-89	3.61456352258044e-87	-2.4006
AHNAK2	6.66515734251512	8.39057919338551e-89	8.3249137910025e-87	-2.136
RBM3	6.89323134308491	8.60889767268185e-87	8.14321429598342e-85	-2.0121
MAP1B	5.89430984157951	7.66207928386089e-85	6.99394597030822e-83	-1.9911
LMNB1	7.84700355570103	7.22544949159025e-83	6.40329154944037e-81	-1.9605
GLS	8.09663952307406	1.80795191922636e-80	1.52805417765724e-78	-2.1894
NPM1	10.9077213813365	1.468901177059e-79	1.21340542481398e-77	-2.1123
MYLK	5.36374026508202	3.89125683298613e-79	3.19994525869346e-77	-2.0457
DANCR	4.12097653394013	2.58887820031815e-78	2.10993573325929e-76	-2.8833
DHFR	6.33112158128552	3.97330170443242e-78	3.22384870738303e-76	-1.8343
HSPA8	10.556741265265	4.41062955506977e-78	3.56285190961743e-76	-2.135
KHSRP	7.60794417785879	2.2980288866827e-75	1.79285535706322e-73	-1.8493
MAPKAPK3	6.48746507041101	4.86831252489625e-75	3.77513340592649e-73	-1.9593
TMEM64	5.65168608111692	1.9794730459128e-74	1.52477889983899e-72	-2.0209
HNRNPAB	8.29698277083148	3.18881504731467e-74	2.44600871864608e-72	-1.9535
TUBB3	6.09601193008584	6.74936181729888e-74	5.13401455569201e-72	-1.9698
UTP20	6.86308533987414	1.20412122887886e-72	8.86388594935984e-71	-1.8034
DPYSL3	6.06675946866781	1.95919225526274e-72	1.43068055248307e-70	-1.7982
PRICKLE1	3.38287965464017	2.20945273751817e-71	1.56340190605162e-69	-3.5601
CELF2	4.08823839785267	3.18746239972574e-71	2.24673025364452e-69	-2.8692
MRPL1	4.95191222038355	1.10357778598755e-70	7.689662618698e-69	-2.2615
CCNB1	7.90193241088315	2.14548685114812e-70	1.47248150205113e-68	-1.823
NOP56	7.57923467304263	2.96683086732703e-70	2.01347450981124e-68	-1.7054
NCOA5	4.56786850651548	4.90163993508104e-70	3.30200511641474e-68	-2.4608
IMPDH2	7.32145304103351	4.9382472127998e-70	3.31443533517916e-68	-1.6951
NIP7	6.93375554205483	5.75032733176268e-70	3.8453470977531e-68	-1.7833
DDX39A	5.90007408370907	1.39067317527102e-69	9.26574068895902e-68	-2.1717
SLAMF7	3.95948952397118	1.46029290790551e-69	9.6942208460811e-68	-2.8373
FAM111B	5.98695711801208	3.71776091528258e-69	2.44141882264024e-67	-1.7731
POLR3G	5.15015691015455	7.85674574654391e-69	5.14095879386758e-67	-2.3263
DSC2	6.05251437019529	1.0607512111089e-68	6.91609789643006e-67	-1.8014
KIAA1462	7.31774531353732	4.53085421815176e-68	2.94360407852593e-66	-1.6602
CDCA7	6.14769169327198	5.6446404037351e-68	3.65420408548184e-66	-1.7871
ERBB2IP	7.90723130901116	1.89376961241796e-67	1.21307572085271e-65	-1.7413
ROR1	5.30803212135763	4.74890930226426e-67	3.03133175601875e-65	-2.0552
KRT4	3.34727062807565	5.62035257646571e-67	3.57509256571282e-65	-3.6288
BRCC3	6.28636124576037	1.87587346315431e-66	1.17280636792278e-64	-1.7085
PRSS23	7.18983616540812	3.47578326938475e-65	2.08729932124631e-63	-1.6284
HMMR	6.88821033257642	1.87881527299528e-64	1.10288268886823e-62	-1.879
TIMM13	5.3949555662144	3.97534699920339e-64	2.3186560644555e-62	-1.776
CIRBP	6.21524614863969	5.97902478285046e-64	3.46517702970533e-62	-1.6665
ODC1	7.2900497146763	6.94762619313813e-64	4.01379315765601e-62	-1.6546
NEXN	6.26169745533966	1.21490336968298e-63	6.99661700849606e-62	-2.6093
GNL3L	6.40985234298351	1.95083206208155e-63	1.11994937501135e-61	-1.6632
PRR11	7.34201856427226	5.6081492906322e-63	3.17957681521061e-61	-1.7207
IPO4	6.29583923014542	7.61066821113314e-63	4.27508796499836e-61	-2.0294
NOP16	6.19147120828807	1.30057238061713e-62	7.26093253227719e-61	-1.6476
POLR1E	5.27117588985497	1.15787045671954e-61	6.27242820708366e-60	-1.8989
C17orf89	4.8962583118961	2.99676461326193e-61	1.61860753786124e-59	-2.436
NETO2	7.10507809267642	8.07716716486559e-61	4.31160127958439e-59	-1.6226
SEMA3A	5.81409861972919	9.54901472407149e-61	5.06763990705376e-59	-1.7032
CENPN	6.17955806054913	5.69463581409707e-60	2.97032204063303e-58	-1.591
INSIG1	6.84338982893738	1.09322413316177e-59	5.6378247951981e-58	-1.588
LOC100128317	3.25508490787044	1.51822173448318e-59	7.74208267729748e-58	-3.6423
SFTA3	4.1143885158472	1.59212566862844e-59	8.09633599066319e-58	-2.4549
RBFA	4.72485360631921	2.27947028644591e-59	1.15274264679658e-57	-2.2295
TIMM21	4.68405580237229	3.0807077509937e-59	1.55362985365031e-57	-2.0097
RASGRF2	3.8501086538605	6.23863543014434e-59	3.1118177161944e-57	-2.642
HELLS	5.37611159077114	9.83669804473259e-59	4.87985759523473e-57	-1.6885
DHX9	7.9353833829482	3.78289316687306e-58	1.86649993660634e-56	-1.584
ANXA3	7.58976457529886	4.59021732325509e-58	2.24662218373579e-56	-1.7943
NOL6	6.15462701310974	7.81854965852564e-58	3.76610666401172e-56	-1.7219
SESN3	2.45803094234681	1.35652099237215e-57	6.51701243072265e-56	-4.7337
CNTN1	4.13633123632076	2.12647396338018e-57	1.01625415380808e-55	-2.4028
KIF20A	6.67947737149038	2.86936411122435e-57	1.36414352121124e-55	-2.0277
FJX1	4.55775293337681	3.63974876525436e-57	1.72590268723334e-55	-2.2918
ZWINT	6.26117103818798	4.61868086955975e-57	2.17316077202791e-55	-1.5531
ALYREF	6.81293524838173	9.66041701273513e-57	4.52206597396134e-55	-1.5063
THOP1	5.41889406923508	1.63907354455006e-56	7.63339965033313e-55	-1.7691
C9orf84	4.41938957374382	5.19463754998912e-56	2.38274630936184e-54	-2.1483
LMNB2	7.11119634491343	5.93499363778475e-56	2.71551989602502e-54	-1.6736
TGFB2	5.73718372379649	1.3093794718188e-55	5.91683951423863e-54	-1.6397
CDKN3	6.37869256015941	7.50763479558824e-55	3.33477812234207e-53	-1.4929
CDC20	7.85096086477761	8.79369091937106e-55	3.88710947757962e-53	-1.5624
DKC1	8.34003298327215	9.24120786661717e-55	4.07506016456432e-53	-1.5982
KPNA2	8.61303643491392	1.54472457245646e-54	6.76270786445209e-53	-1.5648
NDUFAF2	5.98671001193393	2.69016586805615e-54	1.17211618346618e-52	-1.6787
VIM	2.46114019495515	3.66416177056988e-54	1.58514069392236e-52	-4.7363
RRP15	5.99062808147384	3.95427065502908e-54	1.70659964723903e-52	-1.5404
RASAL2	6.71238547966441	4.65667987383406e-54	2.00500820228101e-52	-1.4711
EIF5	8.48471630329459	6.17919924295228e-54	2.64806247369335e-52	-1.5524
DEPDC1B	5.63941514355282	1.06381583450982e-53	4.54824868262558e-52	-1.5725
NSA2	7.08534983163974	4.12602740619625e-53	1.74362861869256e-51	-1.5617
JADE1	5.27782939015986	4.75263052600236e-53	1.99917103416357e-51	-1.6336
TPX2	8.64154434906209	9.51264598940093e-53	3.98309323813081e-51	-1.5753
UBE2E3	5.92136948498381	1.03742091209885e-52	4.32400825828235e-51	-1.7209
CCBE1	5.2039015577193	1.31814142214943e-52	5.48154665210934e-51	-1.6284
CNDP2	5.95366450240819	2.36961043895783e-52	9.76514857192191e-51	-1.5471
EEF1B2	8.19429906453966	2.95599611692584e-52	1.21268910360895e-50	-1.5957
UTP15	5.40911761546654	3.44216359730216e-52	1.40897171821409e-50	-1.6734
EXOSC6	5.07774554676788	4.35612506127702e-52	1.77512096247039e-50	-1.6963
GINS2	4.76001428574946	4.48616787556118e-52	1.82404188722149e-50	-1.8812
HSPH1	7.52513871836695	6.09571516136134e-52	2.47296391079583e-50	-1.5052
RRM2	7.63721095867978	1.26256778198803e-51	5.08817603266524e-50	-1.5199
ALKBH8	5.06480289642705	1.61406277501747e-51	6.46191447822783e-50	-1.6947
HNRNPM	8.82362380714703	2.8138983174482e-51	1.11675060181162e-49	-1.9629
THBS1	5.33990361660878	3.50350429861178e-51	1.38142493467509e-49	-1.6357
TXNL1	5.49060805232709	3.69543973314524e-51	1.45396439155818e-49	-1.6422
TOMM5	6.92585722518513	3.98261976605935e-51	1.56358508492859e-49	-1.5495
IPO5	7.53527164436069	4.67558381265408e-51	1.81998844528386e-49	-1.4747
SPDL1	5.83315154119422	4.72961915537062e-51	1.8371048361797e-49	-1.5157
MRPS27	6.52544464585916	6.0628406182924e-51	2.34996217255936e-49	-1.6226
HSPA4L	5.95833287415063	1.05860095157137e-50	4.08579682280908e-49	-1.5171
SRSF2	7.90656439924653	1.14448593926801e-50	4.40796103529046e-49	-1.4862
GEMIN5	5.63826262858275	1.21492349236087e-50	4.66939858453474e-49	-1.5983
GAR1	6.32228510518562	1.24209178882768e-50	4.75380035573127e-49	-1.4431
LANCL2	8.65767518869744	3.47971052349232e-50	1.3206984473363e-48	-1.5472
UTP14A	6.00063705255413	5.18255704267995e-50	1.9588563430883e-48	-1.5004
ZMPSTE24	7.01474910456521	5.25148793693504e-50	1.98080916893979e-48	-1.4181
HGF	2.87099174558058	6.48702669136441e-50	2.43677282464092e-48	-3.3519
PRKACB	5.70817894221076	6.88132989811988e-50	2.57893914921715e-48	-1.5483
CCDC86	5.79618116580005	1.47439297661225e-49	5.47083702866528e-48	-1.9963
MCM3	6.44829115509401	7.69909514322026e-49	2.81109361869258e-47	-1.4177
EEF2	10.2177120144771	8.22742961025322e-49	2.99800309310944e-47	-1.5742
UTRN	6.72635985268186	8.27086575321485e-49	3.00782719503367e-47	-1.4869
PNO1	6.12311935091122	1.25009497141967e-48	4.52812178536458e-47	-1.425
TIMM8A	5.36763116943819	1.42791432521138e-48	5.16198097446712e-47	-1.5945
SYNE1	5.62230677961162	1.84109933272247e-48	6.64251174272361e-47	-1.5006
CALM1	8.08169605504693	2.10557860325485e-48	7.56681948445286e-47	-1.4508
NLN	6.27661482626581	4.44313508471652e-48	1.57502668168126e-46	-1.5884
CCNE2	4.89205053736455	4.47954277791328e-48	1.58485528979816e-46	-1.8424
HMGCR	7.21965570116418	1.17058267304951e-47	4.0627675435726e-46	-1.645
SBDSP1	5.22106850678634	1.4771699702112e-47	5.10742707882115e-46	-1.5604
KRT80	7.41160921027632	1.59685715791719e-47	5.51081744327718e-46	-1.4339
TIGAR	5.00048511554068	2.65728580693879e-47	9.11868603223206e-46	-1.7142
RAP1GDS1	5.48780599658337	8.02366839093054e-47	2.72267825548007e-45	-1.5873
FNIP2	6.1979835753603	8.44482512883841e-47	2.85497643614952e-45	-1.4044
C19orf53	6.18110244961076	1.54584466333617e-46	5.19722655135639e-45	-1.5923
SLIRP	7.51351543031535	1.56577781507409e-46	5.25456613823392e-45	-1.4833
UBLCP1	5.30305233431316	1.6566436941664e-46	5.5493004184774e-45	-1.4962
RPF2	6.64982795344397	2.41582688005019e-46	8.00423512199568e-45	-1.3681
DHX29	5.59376751399124	2.57730308604055e-46	8.50836259290349e-45	-1.4614
GINS4	4.71228778045444	4.03880034525939e-46	1.32374037886993e-44	-1.7888
ME2	5.36730381522369	4.29115169430601e-46	1.40392948622313e-44	-1.4971
NIFK	5.81463376185466	5.28730405689539e-46	1.7236611225479e-44	-1.3863
SDC2	1.83648650004918	5.52779147142057e-46	1.79245756842369e-44	-5.9864
NME1	6.80581221633158	6.76833443285102e-46	2.19082825188171e-44	-1.4436
DLGAP5	7.4088915259824	8.60422525685386e-46	2.76547070931556e-44	-1.357
ARHGAP29	7.17570583880051	9.7666004458859e-46	3.12805364456303e-44	-1.487
CBWD1	5.69033349176142	1.16804197569962e-45	3.72793257139377e-44	-1.5153
CLCF1	4.94892814228896	2.30018391139387e-45	7.27767027494046e-44	-1.6853
ITGB1BP1	6.31738279677667	2.74388937592606e-45	8.66651288008757e-44	-1.3971
IPO11	4.83459384952318	3.62132111249463e-45	1.13592505549316e-43	-1.6448
C18orf25	5.48172161841546	5.13306384199456e-45	1.60736215264927e-43	-1.673
APEX1	7.50959135405598	7.09319975091924e-45	2.21356332739798e-43	-1.4593
DTYMK	5.73737791773559	8.60150346803864e-45	2.67511153854367e-43	-1.3938
TTC1	5.86470493192481	1.48354203333569e-44	4.5904310780638e-43	-1.4135
DNAJC9	6.03777382543159	1.49426573771006e-44	4.61578939215479e-43	-1.4184
ALDH1B1	5.65301843377592	5.9177602423336e-44	1.81570808376542e-42	-1.4953
TUBA1B	9.8848523580225	7.08331003633968e-44	2.16967966482243e-42	-1.5994
ETF1	7.64259281512732	7.46434265541036e-44	2.28256347599952e-42	-1.4072
NOP58	7.53772760952056	7.6853877640638e-44	2.34622807727005e-42	-1.4429
HSPA9	9.02966287530153	2.08803604420018e-43	6.32158972187702e-42	-1.417
TUBA4A	6.32048808505965	2.69408934612318e-43	8.11605529749584e-42	-2.0579
FARSA	5.46048929584168	2.89085874733451e-43	8.69448390302121e-42	-1.5303
MCM4	7.53948201600769	5.31341291363681e-43	1.59280239985802e-41	-1.3329
MLLT1	5.12683485897512	5.80092689932809e-43	1.73609379465793e-41	-1.5826
SPTB	4.74684826469372	6.88697723372082e-43	2.05775215022598e-41	-1.7194
TIMM10	5.34440912042705	1.00970167704913e-42	2.99238860652743e-41	-1.6241
FGF13	2.99304721187951	3.04444719889331e-42	8.94998841594143e-41	-2.8588
ZNF367	5.08307076833208	3.13791097064646e-42	9.19513686679324e-41	-1.5737
MBD2	6.15382058424024	4.89702516778093e-42	1.42811647704487e-40	-1.52
